X,Description,Batch,Start Date,Delivery Date,Customer1,Description,Customer2,Responsible,Comms BT02,Comms BT03,BT.St,Material,Prod.Sch,Quantity
false,E211GU304 FOREST GREEN,209583175,19/04/2021,26/04/2021,RIVIAN,Liberado,OK TOTES,DISPONIBLE,,TINA224,50,50678299,4,983.266
false,E386AU457F SBBC CACTUS GR,209628241,21/04/2021,27/04/2021,FORD MAP,Liberado,,DISPONIBLE,,TM21401,50,50662384,1,"5,796.72"
false,E387BU423F SBBC VELOCITY,209670339,29/04/2021,05/05/2021,FORD MAP,Evaluaci¢n Inicial,,DISPONIBLE,NO ALCANZA EL ALUMINIO 50534918 (RX06425V ALUM PASTE D462 BL 12KG 1A2),TM21402,15,50662394,1,"4,027.18"
false,E387KU343F SBBC SHADOW BK,209565935,29/03/2021,08/04/2021,FORD MAP,Liberado,X EVAL TOT,DISPONIBLE,SE LIBERAN 3 TOTES LLENOS EL RESTO X EVALUAR,TM21404,50,50573619,1,"5,499.71"
false,E138KU502P POP NEGRO BIC,209563161,14/04/2021,21/04/2021,POP,En Inspecci¢n,NZ22.04.21,DISPONIBLE,,TM21405,45,50367817,1,"3,347.31"
false,E188KU668 BMW 668 BLACK II,209657961,28/04/2021,04/05/2021,DCS,Por Envasar,,DISPONIBLE,,TM21406A,30,56860188,1,"5,092.18"
false,R99RU311C Cherry Pop TC,209630475,21/04/2021,28/04/2021,GM SLP,Por Envasar,,DISPONIBLE,,TM21406B,30,50635257,1,"3,307.50"
false,E387AU432F SBBC ICONIC,209573642,14/04/2021,21/04/2021,FORD MAP,Entonado QC,,DISPONIBLE,EMBARQUE VIERNES 30 DE ABRIL,TM21407,20,50615966,1,"3,764.60"
false,E387KU343C Shadow Black,209579811,21/04/2021,28/04/2021,FORD CSAP,En Inspecci¢n,,DISPONIBLE,,TM21413,45,50368030,1,"4,300.00"
false,E139KU007P POP DEEPBLACK,209484819,23/03/2021,29/03/2021,POP,En Inspecci¢n,NZ16.04.21,DISPONIBLE,PENDIENTE ENVIAR EL MATERIAL A OTRO TANQUE Y HACER EL AJUSTE (SENSOR DE NIVEL),TM21414,45,50367820,1,"4,997.16"
false,E487AU458T SBBC Carbo Gry,209562588,30/03/2021,07/04/2021,FORD KCT,En Inspecci¢n,X EVAL TOT,DISPONIBLE,F/APROBACION DE WAIVER,TM21415,45,50647510,1,"5,769.29"
false,E387RU298M 46V SRed C BC1,209495385,23/04/2021,30/04/2021,MAZDA,Entonado Lab Des,,DISPONIBLE,ENVIO DE BATCH PANEL PROXIMO 4 MAYO,TM21416,25,50506581,1,"4,726.80"
false,E387AU458F SBBC CARBON GR,209616384,07/04/2021,14/04/2021,FORD MAP,Liberado,LIBE6TOTES,DISPONIBLE,POR LIBERAR TOTE 635 FALTA APROBACI‡N DE CRµTER,TM21419,50,50650423,1,"5,347.23"
false,U04AU062H GRAY ADH PROM,209613575,28/04/2021,04/05/2021,PORA,Cargando,,DISPONIBLE,,TM21420,10,50120626,1,"3,544.57"
false,U28KU056M CHARCAL PR RFU,209699389,29/04/2021,04/05/2021,MAZDA,Evaluaci¢n Inicial,,DISPONIBLE,,TM21421,15,50388344,1,"6,120.00"
false,U28AU227A LT GRAY PRIMER,209480930,27/04/2021,30/04/2021,FORD CSAP,Por Envasar,,DISPONIBLE,,TM21422,30,50661028,1,"6,366.57"
false,E386WU466F SBBC OXFORD WH,209565933,26/04/2021,05/05/2021,FORD MAP,Entonado QC,,DISPONIBLE,,TM21423,20,50573516,1,"7,603.76"
false,R99KU503C BLACK MEET KTL,209507882,27/04/2021,06/05/2021,GM SLP,Entonado QC,,DISPONIBLE,OK TONO EN ESPERA DE AUTORIZACI‡N DE LAB PARA ENVIAR AJUSTE,TM21424,20,50387590,1,"6,045.49"
false,E487WU459T Space White,209525928,06/04/2021,12/04/2021,FORD KCT,Liberado,F/POPPING,DISPONIBLE,,TM21426,50,50646648,1,"6,435.32"
false,E387AU458F SBBC CARBON GR,209628243,23/04/2021,06/05/2021,FORD MAP,Entonado QC,,PROCESO,,TM21427,20,50650423,1,"5,347.23"
false,E487RU444T LUCID RED,209616123,06/04/2021,14/04/2021,FORD KCT,Liberado,OK TOTES,DISPONIBLE,,TM21428,50,50601400,1,"6,235.24"
false,U28AU227F LT GRAY PRIMER,209670171,30/04/2021,07/05/2021,FORD MAP,Cargando,,PROCESO,,TM21429,10,50573500,1,"7,642.65"
false,E10CU081A 2K4 IMPROVED,209583106,27/04/2021,05/05/2021,PORA,Evaluaci¢n Inicial,,DISPONIBLE,PRESHIP: 03 MAYO,TM21430,15,50283615,1,"6,362.14"
false,R98WU321C WA8624 SUMMIT WHITE,209507328,29/04/2021,05/05/2021,GM SLP,Evaluaci¢n Inicial,,DISPONIBLE,,TM21431,15,54727098,1,"7,729.56"
false,E10CU081G-S 2K4 Comp A,209580545,26/04/2021,28/04/2021,GM SILAO,Envasando,,DISPONIBLE,,TM21432,35,50526252,1,"14,685.08"
false,U28AU110 GENERIC GRAY PRM,209610892,27/04/2021,03/05/2021,GM SILAO,Por Envasar,,DISPONIBLE,,TM21433,30,50277360,1,"18,615.71"
false,E10CU081G-S 2K4 Comp A,209580547,28/04/2021,30/04/2021,GM SILAO,Evaluaci¢n Inicial,,FALTAN 3 T,,TM21434,15,50526252,1,"14,685.08"
false,U28AU110 GENERIC GRAY PRM,209610894,29/04/2021,10/05/2021,GM SILAO,Evaluaci¢n Inicial,,NO HAY TOT,,TM21435,15,50277360,1,"18,615.71"
false,E54WU108S Groundcoat Aba,209482034,13/04/2021,16/04/2021,GM SILAO,En Inspecci¢n,OFF SPEC,DISPONIBLE,,TM23401,45,50394759,4,"9,687.92"
false,E211AU628P WA626R Swtchbd,209613130,23/04/2021,30/04/2021,GM RAMOS,Por Envasar,OFF SPEC,DISPONIBLE,,TM23402,30,50652268,4,"9,090.00"
false,E279KU310M CP ADV 41W 2BC,209639828,21/04/2021,26/04/2021,MAZDA,Por Envasar,,DISPONIBLE,"BATCH PANEL APROBADO, SE FIRMA ORFA",TM23405,30,50626091,4,"7,100.00"
false,U338WU743P WA503Y Abalone,209613296,26/04/2021,29/04/2021,GM RAMOS,Por Envasar,,PROCESO,,TM23406,30,50650610,4,"11,000.00"
false,U338AU225P WA225A Gray P,209526154,30/04/2021,04/05/2021,GM RAMOS,Entonado QC,,PROCESO,,TM23407,20,50650642,4,"10,756.00"
false,E211RU311S Cherry Pop TC,209580239,29/04/2021,05/05/2021,GM SILAO,Cargando,,NO HAY TOT,,TM23408,10,50639600,4,"11,433.00"
false,E178KU114P Uniblack,209511990,12/04/2021,14/04/2021,SMP,En Inspecci¢n,NZ17.04.21,DISPONIBLE,FALTA PRESHIP,TM23409,45,50495961,4,"4,855.07"
false,E211ZU108S Midcoat Aba Wh,209509478,29/04/2021,04/05/2021,GM SILAO,Entonado QC,,X PROGR,,TM23410,20,50396844,4,"5,413.60"
false,E179WU510E Gletscherweiss,209725523,15/04/2021,23/04/2021,AUDI,Entonado QC,,DISPONIBLE,PRESHIP: 27 ABR,TM23411,20,50523515,4,"8,402.19"
false,E211AU330S Satin steel,209688937,22/04/2021,28/04/2021,GM SILAO,Entonado QC,,X PROGR,EMBARQUE MAY 04 @ 10 AM,TM23415,20,50522921,4,"27,207.20"
false,E211KU772T SIERRA BLACK,209565733,22/04/2021,05/05/2021,TESLA,Entonado QC,,DISPONIBLE,,TM23416,20,50492227,4,"16,193.01"
false,E279AU810 MINERAL GRAY,209481411,06/04/2021,12/04/2021,BMW SLP,En Inspecci¢n,NZ28.04.21,DISPONIBLE,LOTES A 209481411 & B 209481812,TM23417,45,50523832,4,"6,180.00"
false,E211RU311R Cherry Pop TC,209773409,29/04/2021,05/05/2021,GM RAMOS,Entonado QC,,DISPONIBLE,,TM23417,20,50639448,4,"3,182.70"
false,E10RU034G-S Cherry POP CC,209580541,23/04/2021,27/04/2021,GM SILAO,En Inspecci¢n,,DISPONIBLE,,,45,50653765,1,"6,448.21"
false,E10CU081G-S 2K4 Comp A,209509840,24/03/2021,26/03/2021,GM SILAO,En Inspecci¢n,OFF SPEC,DISPONIBLE,LOTE QUE SE BAJO POR DIFERENCIA EN CARGA,,45,50526252,1,"14,685.08"
false,E180KM002 BLACK,209672432,18/05/2021,30/03/2021,TIER,,,,,,,50337267,1,"5,658.48"
false,E139KU009C POC DEEPBLACK,209642895,25/03/2021,05/04/2021,POC,Liberado,NZ08.04.21,DISPONIBLE,,,50,50471579,1,"5,151.99"
false,E42CU026P POP CLEARJF7101,209583304,29/03/2021,08/04/2021,POP,En Inspecci¢n,NZ13.04.21,DISPONIBLE,,,45,50367368,1,"6,090.45"
false,E386YU450F SBBC CYBER GC,209522981,08/04/2021,12/04/2021,FORD MAP,Liberado,OK TONO,DISPONIBLE,SE DA PARA ENVASE 2T EMBARQUE JUEVES 29.04,,50,50650432,1,"1,893.50"
false,E279RU811M Sunset Orange,209523570,30/03/2021,12/04/2021,MINGHUA,En Inspecci¢n,NZ23.04.21,DISPONIBLE,CONTIENE 4 CUBETAS DE EXPORTACI‡N SOUTHFIELD.,,45,50578864,4,"1,962.71"
false,E487BU456T SBBC Antimatter,209610120,31/03/2021,12/04/2021,FORD KCT,Liberado,X EVAL TO,DISPONIBLE,OK POPPING,,50,50668737,1,"4,766.82"
false,E279BU811M Portimao Blue,209526725,06/04/2021,13/04/2021,MINGHUA,Captura/Cierre,,DISPONIBLE,OK TONO POR TERMINAR CALIDAD,,40,50578856,4,103
false,E54WU310Z Summit White,209562486,11/04/2021,15/04/2021,GM WENTZ,Liberado,OK TOTES,DISPONIBLE,EMBARQUE 22.04,,50,50464272,4,"25,030.00"
false,E387KU343F SBBC SHADOW BK,209670335,08/04/2021,16/04/2021,FORD MAP,Liberado,X EVAL TOT,DISPONIBLE,,,50,50573619,1,"6,651.19"
false,E279WU801M Mineral Wh CP3,209751404,15/04/2021,18/04/2021,MINGHUA,Entonado Lab Des,,DISPONIBLE,,,25,50572735,4,"1,900.00"
false,E189ZU003 MINERALWEIS MID,209511822,09/04/2021,19/04/2021,DCS,Liberado,NZ17.04.21,DISPONIBLE,EMBARQUE LUNES 19.04 SE REQUIERE WAIVER,,50,50145370,1,196.443
false,E211GU305 LAUNCH GREEN,209726235,13/04/2021,19/04/2021,RIVIAN,Liberado,OK TOTES,DISPONIBLE,SE REQUIERE PARA EMBARQUE EL 220421,,50,50733270,4,"1,972.20"
false,E486RU236T SBBC RACE RED,209454077,12/04/2021,20/04/2021,FORD KCT,Liberado,OK TOTES,DISPONIBLE,,,50,50338427,1,"5,652.31"
false,E278KU801 Black II,209456802,17/04/2021,21/04/2021,BMW SLP,Liberado,F/PANEL,DISPONIBLE,LOTES A 209456802 &  B 209456803,,50,50545279,4,"2,020.00"
false,E211AU628S SWITCHBLD SLVR,209509476,16/04/2021,21/04/2021,GM SILAO,En Inspecci¢n,NZ28.04.21,DISPONIBLE,"EMBARQUE APR 27 @ 10 AM, 1 TOTE",,45,50414686,4,"22,160.29"
false,E54YU229 WA9417 TANGIER ORANGE,209562333,14/04/2021,21/04/2021,GM SILAO,Liberado,,DISPONIBLE,EMBARQUE APR 29 @ 10 AM,,50,50370773,4,"2,141.62"
false,E386YU461F SBBC YELLOWSTN,209576639,15/04/2021,21/04/2021,FORD MAP,Entonado Lab Des,OK TONO,DISPONIBLE,,,25,50695885,1,513.957
false,E178AU510P Pure Grey,209633173,15/04/2021,21/04/2021,SMP,En Inspecci¢n,NZ26.04.21,DISPONIBLE,,,45,50508708,4,"1,938.00"
false,E179KU610P Deep Black,209683195,14/04/2021,21/04/2021,SMP,En Inspecci¢n,NZ23.04.21,DISPONIBLE,,,45,50500395,4,"1,976.57"
false,E387BU469F SBBC PEAK BLUE,209576637,16/04/2021,22/04/2021,FORD MAP,Liberado,F/PO,DISPONIBLE,PROPUSTA 23 ABR,,50,50688828,1,408.201
false,U28AU110N Med Gray Primer,209642815,15/04/2021,22/04/2021,RIVIAN,Liberado,,DISPONIBLE,,,50,50729481,1,"2,225.82"
false,E189AU050M DONINGTON GREY,209727644,15/04/2021,23/04/2021,MAGNA,Entonado QC,,DISPONIBLE,EMBARQUE VIERNES 30.04,,20,50578867,1,205.45
false,E180KM005 SB BLACK 30 GL,209737860,17/04/2021,23/04/2021,TIER,Liberado,,DISPONIBLE,EMBARQUE LUNES 26.04,,50,51720196,1,201.739
false,E10CU081G 2K4 Component A,209517367,16/04/2021,26/04/2021,GM RAMOS,En Inspecci¢n,,DISPONIBLE,,,45,50510912,1,"15,116.63"
false,E54KU016 BLACK B/C,209568107,22/04/2021,26/04/2021,GM SILAO,En Inspecci¢n,,DISPONIBLE,,,45,56103030,4,"32,256.12"
false,E270AU104 Lt.Gray CP1,209570917,14/04/2021,26/04/2021,TESLA AT,Liberado,,DISPONIBLE,,,50,50731709,4,"1,914.92"
false,E486YU858T Yellow VSO,209699835,17/04/2021,26/04/2021,FORD KCT,Liberado,F/POPPING,DISPONIBLE,,,50,50356633,1,497.123
false,E99BU225R Blue Glo Met,209642600,20/04/2021,27/04/2021,PORA,Por Envasar,,DISPONIBLE,PRESHIP: 03 MAYO,,30,50679495,1,394.433
false,E387BU365F SBBC B LIGHTNI,209670341,20/04/2021,27/04/2021,FORD MAP,Liberado,F/POPPING,DISPONIBLE,,,50,50573513,1,837.785
false,E178AU015P Quantumgrau,209425811,19/04/2021,27/04/2021,SMP,En Inspecci¢n,,DISPONIBLE,RETRABAJO L-0209425811,,45,50486368,4,"1,768.00"
false,E279RU811 SUNSET ORANGE,209712345,20/04/2021,27/04/2021,BMW SLP,Entonado Lab Des,,DISPONIBLE,LOTES A 0209712344 &  B 0209712345,,25,50530379,4,"1,140.00"
false,E386AU324F SBBC AREA 51,209525436,21/04/2021,28/04/2021,FORD MAP,Entonado QC,,DISPONIBLE,EMBARQUE VIERNES 7 MAYO,,20,50650414,1,"1,699.57"
false,E387BU456F SBBC ANTIMATTR,209670343,22/04/2021,28/04/2021,FORD MAP,Liberado,,DISPONIBLE,,,50,50662389,1,"1,628.03"
false,FF830111-US iGloss Matt,209744815,30/04/2021,28/04/2021,BMW SPARTA,Por Envasar,,DISPONIBLE,EMBARQUE MAY 03 @ 10 AM,,30,50741736,1,773.072
false,E211AU092R THE DRAKE MET,209754053,24/04/2021,28/04/2021,GM RAMOS,Liberado,OK TONO,DISPONIBLE,SE DA PARA ENVASE 27 ABR,,50,50639592,4,"3,131.00"
false,E211RU302R TIGERLILY,209770945,26/04/2021,28/04/2021,GM RAMOS,Liberado,,DISPONIBLE,EMBARQUE:29 DE ABR,,50,50639587,4,"1,086.75"
false,E278WU802M Mineral Wh CP2,209751410,22/04/2021,29/04/2021,MINGHUA,Entonado Lab Des,,DISPONIBLE,,,25,50572754,4,"1,689.41"
false,E211AU628R SWITCHBLADE S,209771380,26/04/2021,29/04/2021,GM RAMOS,En Inspecci¢n,,DISPONIBLE,,,45,50472380,4,"5,160.00"
false,E211BU413 RIVIAN BLUE,209583111,23/04/2021,30/04/2021,RIVIAN,Liberado,OK TOTES,DISPONIBLE,,,50,50681710,4,"1,924.89"
false,E270KU421 ANTHRACITE CP1,209583524,26/04/2021,30/04/2021,COMPAS,,,,,,,50497447,4,"11,427.65"
false,E387ZU380M 46G Machine MC,209586360,22/04/2021,30/04/2021,MAZDA,Entonado Lab Des,,DISPONIBLE,ENVIO DE BATCH PANEL PROXIMO 4 DE MAYO,,25,50462874,1,"1,483.20"
false,U04WM031 WHITE ADBLOC,209678457,29/04/2021,30/04/2021,GM SPRING,Cargando,,DISPONIBLE,,,10,55264836,1,"1,518.60"
false,E54WU658T NEU-100E WHITE,209534661,15/04/2021,03/05/2021,TESLA,Liberado,X EVAL TOT,DISPONIBLE,,,50,50491897,4,"10,996.50"
false,E15AU074C NH830M LUNAR SI,209762007,26/04/2021,03/05/2021,H. ALLIST,Entonado QC,,DISPONIBLE,EMBARQUE TENTATIVO LUNES 3 MAYO,,20,50312766,1,143.658
false,E211AU093R BAE-GE MET,209770948,27/04/2021,03/05/2021,GM RAMOS,Cargando,,X PROGR,EMBARQUE: 03 MAYO,,10,50639550,4,"1,470.00"
false,E54WU108R AbaloneWhite GC,209771387,27/04/2021,03/05/2021,GM RAMOS,Por Envasar,,DISPONIBLE,,,30,50572944,4,"1,272.05"
false,N52CU375 Lo Bak RP Comp-B,209719040,30/04/2021,04/05/2021,GM USA,Pre-Ensamble,,DISPONIBLE,,,5,50468467,1,180
false,E279ZU001 QAB Tricoat,209512170,28/04/2021,05/05/2021,COMPAS,Entonado QC,,DISPONIBLE,,,20,50497724,4,"1,976.03"
false,E387RU300M 46V RED INN,209519444,03/05/2021,05/05/2021,MAZDA,,,,NO ALCANZA LA RESINA 51351950 (CYMEL 1158) Y MATERIAL 50271751 CADUCO,,,50517918,1,"3,121.20"
false,E387RU403F SBBC HOT PEPPR,209559077,26/04/2021,05/05/2021,FORD MAP,Entonado QC,,DISPONIBLE,NO ALCANZA LA PASTA 53501581 832R0878,,20,50573494,1,"1,544.60"
false,E10CU081G-S 2K4 Comp A,209596777,04/05/2021,05/05/2021,GM SILAO,,,,,,,50526252,1,"14,685.08"
false,E279BU110 KBZ Sld Lk Gry,209599410,28/04/2021,05/05/2021,COMPAS,Entonado QC,,DISPONIBLE,,,20,50604041,4,"1,426.59"
false,E179GU801P Distriktgrun,209699593,28/04/2021,05/05/2021,SMP,Entonado Lab Des,,DISPONIBLE,,,25,50653609,4,"1,276.80"
false,E189AU607 GLACR SLBR WA83,209727646,29/04/2021,05/05/2021,DCS,Pre-Ensamble,,DISPONIBLE,NO HAY SOLUCION DE PREPESADO 52812473 (CLR FLOP CHNGE) Y ALUMINIO CADUCO,,5,50276817,1,"2,978.56"
false,E387ZU446C Star White MC,209481585,24/04/2021,06/05/2021,FORD CSAP,Por Envasar,,DISPONIBLE,,,30,50660494,1,"1,202.06"
false,U28AU110C GENERIC GRAY PR,209507880,26/04/2021,06/05/2021,GM SLP,Liberado,,DISPONIBLE,,,50,50654466,1,"7,223.57"
false,E278WU412 QAK White GC,209512167,29/04/2021,06/05/2021,COMPAS,Entonado QC,,DISPONIBLE,,,20,50497729,4,"2,341.32"
false,E138WU507C POC PUREWHITE,209562575,04/05/2021,06/05/2021,POC,,,,,,,50428132,1,"5,837.22"
false,E54WU007 OLYMPIC WHITE,209568109,30/04/2021,06/05/2021,GM SILAO,Pre-Ensamble,,NO HAY TOT,EMBARQUE MAY 11 @ 10 AM,,5,56103189,4,"36,864.00"
false,E278KU105 CP2 SierraBlack,209570919,23/04/2021,06/05/2021,TESLA AT,Por Envasar,,DISPONIBLE,"OK TONO TERMINANDO 28/04/21,SE ENTREGA A CALIDAD",,30,50732932,4,"1,892.77"
false,U28AU420 LT GRAY PRIMER,209577332,03/05/2021,06/05/2021,TESLA,Pre-Ensamble,,DISPONIBLE,,,5,50626720,1,"19,396.45"
false,E386WU446C Star White GC,209586449,27/04/2021,06/05/2021,FORD CSAP,Entonado QC,,DISPONIBLE,,,20,50660877,1,"2,467.59"
false,E386RU236G SBBC RACE RED,209615292,27/04/2021,06/05/2021,FORD MAP,Entonado QC,,DISPONIBLE,,,20,50728169,1,375
false,E42CU029P CLEAR JF71-0312,209632815,30/04/2021,06/05/2021,SMP,Pre-Ensamble,,FALTAN 7 T,,,5,50451263,1,"15,200.00"
false,E10RU034 Cherry Pop TCC,209637491,28/04/2021,06/05/2021,PORA,Entonado QC,,DISPONIBLE,EN AJUSTE CON PRODUCCI‡N,,20,50656260,1,"1,272.60"
false,E126CM027 CLEARCOAT,209669592,30/04/2021,06/05/2021,H. MARYS,Cargando,,DISPONIBLE,,,10,50336366,1,683.913
false,E99RU302R Tigerlily Met,209672339,26/04/2021,06/05/2021,PORA,Entonado Lab Des,OK TONO,DISPONIBLE,,,25,50635806,1,173.397
false,E387GU476F SBBC ERUPN GRN,209559079,30/04/2021,07/05/2021,FORD MAP,Pre-Ensamble,,DISPONIBLE,,,5,50695870,1,819.582
false,E10CU081G 2K4 Component A,209585828,03/05/2021,07/05/2021,GM RAMOS,Pre-Ensamble,,NO HAY TOT,,,5,50510912,1,"15,116.63"
