X,Description,Batch,Start Date,Delivery Date,Customer1,Description,Customer2,Responsible,Comms BT02,Comms BT03,BT.St,Material,Prod.Sch,Quantity
false,E10CU081G-S 2K4 Comp A,209596779,06/05/2021,07/05/2021,GM SILAO,,,,,,,50526252,1,"14,685.08"
false,E211AU628P WA626R Swtchbd,209666249,04/05/2021,07/05/2021,GM RAMOS,,,,,,,50652268,4,"23,903.06"
false,E54WU760T CATALINA WHITE,209509533,04/05/2021,08/05/2021,TESLA,,,,,,,50687887,4,"37,824.17"
false,E211KU504 MIDNIGHT METALLIC,24349115,30/04/2021,08/05/2021,RIVIAN,Cargando,,DISPONIBLE,,,10,50680887,4,"1,957.08"
false,U04AU065P Schiefergrau,209580194,06/05/2021,09/05/2021,SMP,,,,,,,50464011,4,"11,300.00"
false,E10RU034G-S Cherry POP CC,209580543,03/05/2021,10/05/2021,GM SILAO,,,,,,,50653765,1,"6,448.21"
false,U28WU743S Primer Abalone,209610608,05/05/2021,10/05/2021,GM SILAO,,,,,,,50414153,1,"8,072.46"
false,U04AM062M ADBLOC AD PRO,209657963,04/05/2021,10/05/2021,TIER,,,,,,,50344559,1,"3,244.80"
false,E386RU230M 46V SRed C BC2,209484750,05/05/2021,11/05/2021,MAZDA,,,,,,,50507478,1,"3,708.00"
false,E54RU116S PULL ME OVER RD,209509474,06/05/2021,11/05/2021,GM SILAO,,,,,,,50397046,4,"9,002.29"
false,E279KU406 GAT Black Gls,209525746,03/05/2021,11/05/2021,COMPAS,,,,,,,50596479,4,"1,933.42"
false,E211GU035S Unripe Green,209562349,04/05/2021,11/05/2021,GM SILAO,,,,,,,50266056,4,"1,940.00"
false,E98KU405R BLACK,209583176,04/05/2021,11/05/2021,PORA,,,,,,,57323037,1,"3,377.47"
false,E54KU225P WA8555 Black,209613118,08/05/2021,11/05/2021,GM RAMOS,,,,,,,50650646,4,"9,500.00"
false,E279AU604M CP ADV 47C 2BC,209639972,10/05/2021,11/05/2021,MAZDA,,,,,,,50649812,4,"1,854.00"
false,E211KU503S BLACK MEET KTL,209696828,03/05/2021,11/05/2021,GM SILAO,,,,,,,50636658,4,"7,133.63"
false,E180WM008 WHITE HS URETHANE,209525955,11/05/2021,12/05/2021,TIER,,,,,,,50336631,1,"4,810.95"
false,E211AU092P THE DRAKE MET,209526374,05/05/2021,12/05/2021,GM RAMOS,Pre-Ensamble,,NO HAY TOT,,,5,50642669,4,"7,883.25"
false,E54RU116P WA130X PMOR,209526376,11/05/2021,12/05/2021,GM RAMOS,,,,,,,50667196,4,"6,751.80"
false,E98WU310R SUMMIT WHITE,209583172,07/05/2021,12/05/2021,PORA,,,,,,,50390909,1,"5,372.48"
false,E10CU081G-S 2K4 Comp A,209596781,08/05/2021,12/05/2021,GM SILAO,,,,,,,50526252,1,"14,685.08"
false,E279RU302 Rose Gold,209599553,03/05/2021,12/05/2021,DAIMLER,,,,,,,50580819,4,"1,576.67"
false,E54WU310P WA8624 Summit,209613124,05/05/2021,12/05/2021,GM RAMOS,,,,,,,50660341,4,"13,300.00"
false,E42CU028C POC CLEARJF7101,209642897,12/05/2021,12/05/2021,POC,,,,,,,50428136,1,"11,235.43"
false,E387WU459C Space White,209685207,28/04/2021,12/05/2021,FORD CSAP,Entonado QC,,DISPONIBLE,,,20,50650217,1,"2,044.02"
false,N52CG132 HI BAK SPOT CC,209719038,08/05/2021,12/05/2021,GM,,,,,,,50138148,1,150.001
false,E386RU236F SBBC RACE RED,209469897,11/05/2021,13/05/2021,FORD MAP,,,,,,,50616162,1,"3,234.07"
false,E139AU007P POP PLATINUM,209511762,06/05/2021,13/05/2021,POP,Pre-Ensamble,,DISPONIBLE,,,5,50400064,1,"4,700.00"
false,E386YU450F SBBC CYBER GC,209522983,06/05/2021,13/05/2021,FORD MAP,,,,,,,50650432,1,"3,712.33"
false,E387RU444C Lucid Red,209559572,24/04/2021,13/05/2021,FORD CSAP,Entonado QC,,DISPONIBLE,,,20,50660913,1,"1,979.91"
false,E54KU016 BLACK B/C,209580533,11/05/2021,13/05/2021,GM SILAO,,,,,,,56103030,4,"32,256.12"
false,E211RU311S Cherry Pop TC,209640118,06/05/2021,13/05/2021,GM SILAO,,,,,,,50639600,4,"9,772.64"
false,U28AU227F LT GRAY PRIMER,209670332,03/05/2021,13/05/2021,FORD MAP,Pre-Ensamble,,X PROGR,,,5,50573500,1,"7,642.65"
false,E211RU224S DK TOREADOR,209675091,07/05/2021,13/05/2021,GM SILAO,,,,,,,50401570,4,"1,353.71"
false,E180YM050 SCL YLW URE,209716740,04/05/2021,13/05/2021,TBB,,,,,,,50334617,1,"6,703.41"
false,E386WU466F SBBC OXFORD WH,209722851,06/05/2021,13/05/2021,FORD MAP,,,,,,,50573516,1,"7,603.71"
false,E387AU432C SBBC ICONIC,209481579,04/05/2021,14/05/2021,FORD CSAP,,,,,,,50660480,1,"1,931.36"
false,E211AU093P BAE-GE MET,209526372,06/05/2021,14/05/2021,GM RAMOS,Pre-Ensamble,,DISPONIBLE,,,5,50642725,4,"4,181.40"
false,E10CU081G 2K4 Component A,209585831,11/05/2021,14/05/2021,GM RAMOS,,,,,,,50510912,1,"15,116.63"
false,U04AU073C ACC UN102,209657804,12/05/2021,14/05/2021,NISSAN AGS,,,,,,,50526274,1,117
false,E218KU535 Black ColorFuse,209671925,06/05/2021,14/05/2021,RIVIAN,,,,,,,50733790,1,382.706
false,U04AU073M ANTICHIP PRMR,209702503,13/05/2021,14/05/2021,MAZDA,,,,,,,50388296,1,741.6
false,U04AM062H ADH PROM,209702552,12/05/2021,14/05/2021,TIER,,,,,,,53777656,1,"2,973.26"
false,E99YU305R WA628G TRIPP,209734427,20/05/2021,14/05/2021,PORA,,,,,,,50681510,1,208.297
false,U28AU110R GENERIC GRAY PR,209771378,08/05/2021,14/05/2021,GM RAMOS,Pre-Ensamble,,NO HAY TOT,,,5,50287534,1,"6,110.50"
false,E54WU108S Groundcoat Aba,209580424,12/05/2021,15/05/2021,GM SILAO,,,,,,,50394759,4,"10,898.91"
false,U28AU110C GENERIC GRAY PR,209533427,11/05/2021,17/05/2021,GM SLP,,,,,,,50654466,1,"7,223.57"
false,E270KU421 ANTHRACITE CP1,209599490,13/05/2021,17/05/2021,COMPAS,,,,,,,50497447,4,"15,084.49"
false,U28WU743S Primer Abalone,209628422,14/05/2021,17/05/2021,GM SILAO,,,,,,,50414153,1,"8,072.46"
false,U28AU110 GENERIC GRAY PRM,209640465,06/05/2021,17/05/2021,GM SILAO,,,,,,,50277360,1,"7,950.71"
false,E10CU081G-R 2K4 HIGH VISC,209682705,12/05/2021,17/05/2021,GM RAMOS,,,,,,,50719321,1,"3,649.52"
false,E386RU230M 46V SRed C BC2,209704534,13/05/2021,17/05/2021,MAZDA,,,,,,,50507478,1,"4,635.00"
false,E211AU336 LA SILVER,209726233,05/05/2021,17/05/2021,RIVIAN,,,,,,,50678294,4,"1,955.17"
false,U04AU073 ACC Primer UN102,209435876,14/05/2021,18/05/2021,NISSAN SMY,,,,,,,50304680,1,748.045
false,E386RU468F SBBC CODE ORAN,209559081,07/05/2021,18/05/2021,FORD MAP,,,,,,,50691618,1,460.663
false,E99ZU108R ABALONE WHIT MC,209561992,07/05/2021,18/05/2021,PORA,,,,,,,50483552,1,957.45
false,E54WU310P WA8624 Summit,209660703,15/05/2021,18/05/2021,GM RAMOS,,,,,,,50660341,4,"11,424.00"
false,E386KU525M 46G MachineBC1,209699391,12/05/2021,18/05/2021,MAZDA,,,,,,,50461884,1,"3,780.00"
false,E387AU432F SBBC ICONIC,209702563,05/05/2021,18/05/2021,FORD MAP,,,,,,,50615966,1,"3,764.60"
false,E387AU327M 46G MCHINE INN,209711149,04/05/2021,18/05/2021,MAZDA,,,,,,,50473784,1,"1,767.50"
false,R99KU503C BLACK MEET KTL,209533429,12/05/2021,19/05/2021,GM SLP,,,,,,,50387590,1,"6,045.49"
false,E270WU431 WHITE CP1,209599865,14/05/2021,19/05/2021,DAIMLER,,,,,,,50523479,4,"12,822.76"
false,E10CU081A 2K4 IMPROVED,209637481,07/05/2021,19/05/2021,PORA,,,,,,,50283615,1,"6,361.55"
false,U28AU110 GENERIC GRAY PRM,209640467,15/05/2021,19/05/2021,GM SILAO,,,,,,,50277360,1,"18,615.62"
false,E10CU081G-S 2K4 Comp A,209654985,17/05/2021,19/05/2021,GM SILAO,,,,,,,50526252,1,"14,685.08"
false,E211AU330S Satin steel,209691950,14/05/2021,19/05/2021,GM SILAO,,,,,,,50522921,4,"23,647.71"
false,E386AU324F SBBC AREA 51,209702558,14/05/2021,19/05/2021,FORD MAP,,,,,,,50650414,1,"4,248.93"
false,U338WU743P WA503Y Abalone,209714681,15/05/2021,19/05/2021,GM RAMOS,,,,,,,50650610,4,"11,051.02"
false,E189AU051 Skyscraper Gray,209389430,13/05/2021,20/05/2021,DCS,,,,,,,50712479,1,194
false,E387NU117M 42S TITANM F,209484606,03/05/2021,20/05/2021,MAZDA,,,,,,,50388124,1,756
false,E138WU506P POP PUREWHITE,209563163,11/05/2021,20/05/2021,POP,,,,,,,50367808,1,"7,447.98"
false,U04AU062H GRAY ADH PROM,209637483,13/05/2021,20/05/2021,PORA,,,,,,,50120626,1,"3,544.57"
false,E99AU210R SWTCH BLAD SLVR,209637487,07/05/2021,20/05/2021,PORA,,,,,,,50987843,1,"3,164.77"
false,E270KU101M CP ADV Black 1BC,209639974,12/05/2021,20/05/2021,MAZDA,,,,,,,50616902,4,"6,500.00"
false,E211RU601 RED CANYON,209671914,12/05/2021,20/05/2021,RIVIAN,,,,,,,50739776,4,971.906
false,E386AU457F SBBC CACTUS GR,209678507,14/05/2021,20/05/2021,FORD MAP,,,,,,,50662384,1,"5,796.72"
false,E387RU444F SBBC RAPID RED,209751482,11/05/2021,20/05/2021,FORD MAP,,,,,,,50616158,1,"3,965.37"
false,E138WU507C POC PUREWHITE,209756276,17/05/2021,20/05/2021,POC,,,,,,,50428132,1,175
false,E10CU610C CLR FF990359 PGLOSS,209370460,18/05/2021,21/05/2021,VW CHAT,,,,,,,50309162,1,"14,331.90"
false,E278WU658A Catalina White,209507100,18/05/2021,21/05/2021,MINGHUA,,,,,,,50667399,4,"7,269.94"
false,E279AU499 IRIDIUM SILVER,209511263,14/05/2021,21/05/2021,DAIMLER,,,,,,,50526246,4,"5,820.33"
false,E279AU406 MOUNTAIN GRAY,209613516,13/05/2021,21/05/2021,DAIMLER,,,,,,,50526261,4,"8,460.49"
false,E99AU092R The Drake Met,209637489,07/05/2021,21/05/2021,PORA,,,,,,,50635799,1,"2,009.58"
false,E99AU093R Bae-ge Met,209637933,13/05/2021,21/05/2021,PORA,,,,,,,50635803,1,222.2
false,E99RU311R Cherry Pop TC,209672337,11/05/2021,21/05/2021,PORA,,,,,,,50635801,1,"1,685.91"
false,E387BU463C SBBC Infinite Blue,209685209,12/05/2021,21/05/2021,FORD CSAP,,,,,,,50650364,1,"1,999.34"
false,E387RU300M 46V RED INN,209704541,14/05/2021,21/05/2021,MAZDA,,,,,,,50517918,1,"4,635.00"
false,E270AU512 DENALI GRAY,209723115,13/05/2021,21/05/2021,BMW SLP,,,,,,,50729491,4,606
false,E387ZU380M 46G Machine MC,209728529,17/05/2021,21/05/2021,MAZDA,,,,,,,50462874,1,"1,800.00"
false,E387AU458C SBBC CARBON GR,209737000,14/05/2021,21/05/2021,FORD CSAP,,,,,,,50666509,1,"4,095.90"
false,E279WU400 DIGITAL WHT PRL,209472643,15/05/2021,22/05/2021,DAIMLER,,,,,,,50538109,4,"5,906.68"
false,E279BU401 Galaxy Blue,209509854,07/05/2021,22/05/2021,DAIMLER,,,,,,,50580792,4,"5,502.16"
false,E211RU830T SUNSET RED MET,209565688,13/05/2021,22/05/2021,TESLA,,,,,,,50491892,4,"9,851.56"
false,E211KU772T SIERRA BLACK,209577338,11/05/2021,22/05/2021,TESLA,,,,,,,50492227,4,"16,194.00"
false,E54WU007 OLYMPIC WHITE,209580431,18/05/2021,22/05/2021,GM SILAO,,,,,,,56103189,4,"36,864.00"
false,E270AU105M CP ADV 47C 1BC,209639830,11/05/2021,22/05/2021,MAZDA,,,,,,,50697702,4,"1,818.00"
false,E279AU503 K23 Silver Met,209473132,19/05/2021,25/05/2021,COMPAS,,,,,,,50495801,4,"1,575.12"
false,E180WM002A GM WHITE HS URE,209525962,17/05/2021,25/05/2021,TIER,,,,,,,50372777,1,"1,514.34"
false,E211AU656T STEEL GRAY,209577310,20/05/2021,25/05/2021,TESLA,,,,,,,50493433,4,"27,584.03"
false,E270KU801 DARK GRAY CP1,209579979,20/05/2021,25/05/2021,BMW SLP,,,,LOTES A 209579979 & B 209579978,,,50523843,4,"8,727.00"
false,E278WU411 POLAR WHITE,209583508,19/05/2021,25/05/2021,DAIMLER,,,,,,,50522943,4,"10,954.60"
false,U28AU420 LT GRAY PRIMER,209610061,19/05/2021,25/05/2021,TESLA,,,,,,,50626720,1,"19,396.45"
false,E279BU214 Ocean Blue CP2,209615734,12/05/2021,25/05/2021,TESLA AT,,,,,,,50737556,4,"1,915.00"
false,E211AU337 EL CAP GRANITE,209642813,13/05/2021,25/05/2021,RIVIAN,,,,,,,50727968,4,"1,951.39"
false,E10CU081G-S 2K4 Comp A,209654987,20/05/2021,25/05/2021,GM SILAO,,,,,,,50526252,1,"14,685.08"
false,E29AM006 SATIN LT GRY INT EN,209672434,20/05/2021,25/05/2021,TIER,,,,,,,50334776,1,"4,019.12"
false,E167KU002C Airdry Blckout,209686040,18/05/2021,25/05/2021,,,,,,,,50537339,1,"1,212.62"
false,E139AU604C POC Silverbird,209699456,15/05/2021,25/05/2021,POC,,,,,,,50731724,1,578.781
false,E387AU474C SBBC ICED BLUE,209714936,13/05/2021,25/05/2021,FORD CSAP,,,,,,,50692134,1,417.06
false,E270KU102M CP ADV 46G 1BC,209221172,17/05/2021,26/05/2021,MAZDA,,,,,,,50657709,4,"1,112.40"
false,E279AU605M CP ADV 46G INN,209221187,15/05/2021,26/05/2021,MAZDA,,,,,,,50712303,4,"1,112.40"
false,E279ZU122M CP ADV 46G 2BC,209223386,15/05/2021,26/05/2021,MAZDA,,,,,,,50713805,4,"1,112.40"
false,E178AU015A Quantumgrau,209511752,17/05/2021,26/05/2021,AUDI,,,,,,,50486481,4,"5,406.00"
false,E487KU414T Agate Black,209525722,18/05/2021,26/05/2021,FORD KCT,,,,,,,50512246,1,"6,944.97"
false,E211WU660T SHASTA MIDCOAT,209565686,11/05/2021,26/05/2021,TESLA,,,,,,,50491885,4,"28,976.39"
false,E387RU444G SBBC RAPID RED,209615087,14/05/2021,26/05/2021,FORD MAP,,,,,,,50728174,1,416.321
false,E387BU456G SBBC ANTIMATTR,209615090,14/05/2021,26/05/2021,FORD MAP,,,,,,,50728184,1,415.084
false,E387AU458G SBBC CARBON GR,209615294,14/05/2021,26/05/2021,FORD MAP,,,,,,,50728096,1,414.675
false,E42CU026P POP CLEARJF7101,209616401,19/05/2021,26/05/2021,POP,,,,,,,50367368,1,"6,090.59"
false,E188WU300 ALPINE WHITE III,209669742,21/05/2021,26/05/2021,DCS,,,,,,,56856637,1,"6,370.90"
false,E387BU456F SBBC ANTIMATTR,209702560,14/05/2021,26/05/2021,FORD MAP,,,,,,,50662389,1,"3,163.03"
false,E387KU343F SBBC SHADOW BK,209702568,19/05/2021,26/05/2021,FORD MAP,,,,,,,50573619,1,"6,651.19"
false,E180YM050 SCL YLW URE,209716742,17/05/2021,26/05/2021,TBB,,,,,,,50334617,1,"6,703.41"
false,E386YU450C Cyber Orang GC,209747340,17/05/2021,26/05/2021,FORD CSAP,,,,,,,50688047,1,"1,282.70"
false,E10RU528 NBA 2K Tinted CC,209433588,21/05/2021,27/05/2021,NISSAN AGS,,,,,,,50507089,1,"1,175.64"
false,R98WU321C WA8624 SUMMIT WHITE,209523116,19/05/2021,27/05/2021,GM SLP,,,,,,,54727098,1,"7,729.56"
false,R99KU503C BLACK MEET KTL,209577302,19/05/2021,27/05/2021,GM SLP,,,,,,,50387590,1,"6,045.49"
false,R99AU330C Satin Steel Gray,209577306,20/05/2021,27/05/2021,GM SLP,,,,,,,50479258,1,"6,864.16"
false,E54WU760T CATALINA WHITE,209577334,14/05/2021,27/05/2021,TESLA,,,,,,,50687887,4,"37,824.17"
false,E279BU812 BLUE RID MOUNT,209610203,22/05/2021,27/05/2021,BMW SLP,,,,LOTES A 209610203 & B 209610204 RECUPERACIONES,,,50530745,4,"1,957.00"
false,E211RU311P Cherry Pop TC,209612788,17/05/2021,27/05/2021,GM RAMOS,,,,,,,50643476,4,"5,981.52"
false,E386RU236F SBBC RACE RED,209670337,20/05/2021,27/05/2021,FORD MAP,,,,,,,50616162,1,"3,234.07"
false,E387RU444C Lucid Red,209685196,17/05/2021,27/05/2021,FORD CSAP,,,,,,,50660913,1,"1,979.92"
false,E178RU601P Tornadorot,209702114,18/05/2021,27/05/2021,SMP,,,,,,,50504395,4,"1,057.35"
false,E387AU470C SBBC DK MATTER,209714934,14/05/2021,27/05/2021,FORD CSAP,,,,,,,50685882,1,"3,145.14"
false,E278BU501 ZANDVOORT BLUE,209723119,20/05/2021,27/05/2021,BMW SLP,,,,,,,50729501,4,959.5
false,E179WU510E Gletscherweiss,209728518,13/05/2021,27/05/2021,AUDI,,,,,,,50523515,4,"8,402.19"
false,E218BU385 Squid Ink,209737122,19/05/2021,27/05/2021,RIVIAN,,,,,,,50736323,1,"1,985.45"
false,E387ZU450C CYBER ORANG MC,209747342,18/05/2021,27/05/2021,FORD CSAP,,,,,,,50688042,1,713.363
false,E10CU610C CLR FF990359 PGLOSS,209370462,22/05/2021,28/05/2021,VW CHAT,,,,,,,50309162,1,"6,060.00"
false,U28AU227A LT GRAY PRIMER,209481472,20/05/2021,28/05/2021,FORD CSAP,,,,,,,50661028,1,"6,430.24"
false,E279RU303 Patagonien Red,209570741,21/05/2021,28/05/2021,DAIMLER,,,,,,,50583986,4,"3,726.31"
false,E10CU081G 2K4 Component A,209669843,20/05/2021,28/05/2021,GM RAMOS,,,,,,,50510912,1,"15,116.63"
false,E278BU501M Zanvoort Blue,209696565,21/05/2021,28/05/2021,MINGHUA,,,,INCLUIR 1 PET DE PRESHIP,,,50730493,4,700.289
false,U28AU227F LT GRAY PRIMER,209702575,21/05/2021,28/05/2021,FORD MAP,,,,,,,50573500,1,"7,642.65"
false,E179KU610P Deep Black,209702237,18/05/2021,31/05/2021,SMP,,,,,,,50500395,4,"1,976.57"
false,U04AM062H ADH PROM,209702554,20/05/2021,31/05/2021,TIER,,,,,,,53777656,1,"2,973.26"
false,E387BU454C SBBC GRABBER B,209726225,19/05/2021,31/05/2021,FORD CSAP,,,,,,,50664785,1,"1,500.00"
false,E179GU801P Distriktgrun,209761618,19/05/2021,31/05/2021,SMP,,,,,,,50653609,4,"1,228.16"
false,U28AU110C GENERIC GRAY PR,209577298,21/05/2021,01/06/2021,,,,,,,,50654466,1,"7,223.57"
false,U04AU062H GRAY ADH PROM,209637485,21/05/2021,01/06/2021,,,,,,,,50120626,1,"3,544.57"
false,E179RU015A Matadorrot,209776627,21/05/2021,01/06/2021,AUDI,,,,,,,50449128,4,"1,212.00"
false,E487AU458T SBBC Carbo Gry,209671921,21/05/2021,02/06/2021,FORD KCT,,,,,,,50647510,1,"5,769.29"
false,E54WU310P WA8624 Summit,209714674,19/05/2021,02/06/2021,GM RAMOS,,,,,,,50660341,4,"18,560.57"
false,E387AU327M 46G MCHINE INN,209728636,21/05/2021,02/06/2021,MAZDA,,,,,,,50473784,1,"3,636.00"
false,E211ZU108P WA140X Abalone,209613298,19/05/2021,03/06/2021,GM RAMOS,,,,,,,50651679,4,"6,952.64"
false,R98WU108C AbaloneWhite GC,209577308,21/05/2021,10/06/2021,GM SLP,,,,,,,50578215,1,"6,539.76"
false,E279AU512 CP2 Steel Grey,209570927,20/05/2021,30/06/2021,TESLA AT,,,,,,,50732937,4,"1,943.81"
false,E270WU202 White CP1,209630655,20/05/2021,30/06/2021,,,,,,,,50732971,4,"2,377.24"
